timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739684921.855,18.066,-72.754,-44.434,-45.410,0.000,CFM
1739684921.859,17.090,-71.777,-45.898,-11.719,0.000,CFM
1739684921.863,1.465,-74.707,-42.969,-13.672,0.000,CFM
1739684921.867,-4.395,-77.637,-39.551,-32.227,0.000,CFM
1739684921.871,7.812,-78.613,-37.598,-16.602,0.000,CFM
1739684921.874,5.371,-77.148,-35.156,-22.461,0.000,CFM
1739684921.878,-5.859,-79.102,-41.504,-28.809,0.000,CFM
1739684921.882,-9.277,-84.473,-48.828,-11.230,0.000,CFM
1739684921.886,2.930,-78.613,-42.969,-11.719,0.000,CFM
1739684921.890,0.000,-76.660,-40.039,-32.227,0.000,CFM
1739684921.894,-13.184,-82.031,-44.434,-27.344,0.000,CFM
1739684921.898,-6.348,-79.102,-44.434,-6.348,0.000,CFM
1739684921.902,-1.953,-72.266,-38.574,-7.324,0.000,CFM
1739684921.906,-17.090,-74.219,-34.180,-23.926,0.000,CFM
1739684921.910,-26.367,-79.590,-40.527,-32.715,0.000,CFM
1739684921.913,-32.227,-79.102,-45.410,-19.043,0.000,CFM
1739684921.917,-33.203,-82.031,-40.527,-10.742,0.000,CFM
1739684921.921,-25.391,-82.520,-32.227,-19.043,0.000,CFM
1739684921.925,-21.484,-87.891,-32.227,-13.184,0.000,CFM
1739684921.929,-6.348,-92.285,-41.992,-7.324,0.000,CFM
1739684921.933,-21.973,-81.055,-48.828,-30.273,0.000,CFM
1739684921.937,-32.227,-76.660,-48.340,-33.203,0.000,CFM
1739684921.941,-18.555,-79.102,-40.039,-25.879,0.000,CFM
1739684921.945,-22.949,-79.590,-33.691,-25.391,0.000,CFM
1739684921.949,-25.391,-77.148,-34.180,-21.484,0.000,CFM
1739684921.953,-19.531,-73.242,-33.691,-11.719,0.000,CFM
1739684921.956,-19.531,-76.172,-34.180,-16.113,0.000,CFM
1739684921.960,-39.551,-83.008,-33.691,-33.203,0.000,CFM
1739684921.964,-58.594,-78.613,-35.156,-42.480,0.000,CFM
1739684921.968,-49.316,-74.219,-34.668,-28.320,0.000,CFM
1739684921.972,-36.133,-78.613,-40.527,-32.715,0.000,CFM
1739684921.976,-42.969,-83.008,-44.434,-26.855,0.000,CFM
1739684921.980,-42.480,-78.125,-33.691,-4.395,0.000,CFM
1739684921.984,-42.480,-74.219,-37.109,-34.668,0.000,CFM
1739684921.988,-20.020,-71.289,-44.922,-32.227,0.000,CFM
1739684921.992,-12.207,-69.824,-41.992,-9.277,0.000,CFM
1739684921.996,-38.086,-73.730,-42.480,-21.484,0.000,CFM
1739684921.999,-36.133,-73.242,-43.945,-15.137,0.000,CFM
1739684922.003,-21.484,-73.730,-40.039,1.953,0.000,CFM
1739684922.007,-26.367,-70.801,-43.457,-14.648,0.000,CFM
1739684922.011,-34.180,-70.312,-41.504,-18.066,0.000,CFM
1739684922.015,-41.504,-75.684,-34.668,-12.695,0.000,CFM
1739684922.019,-43.457,-71.289,-43.945,-32.715,0.000,CFM
