timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739683960.497,-32.227,-60.059,-48.340,-23.926,0.000,sab
1739683960.501,-38.086,-54.688,-49.805,-34.180,0.000,sab
1739683960.505,-46.387,-53.223,-53.223,-53.711,0.000,sab
1739683960.508,-44.434,-56.152,-57.129,-62.012,0.000,sab
1739683960.512,-44.434,-49.805,-50.781,-54.688,0.000,sab
1739683960.516,-53.711,-51.270,-44.434,-50.293,0.000,sab
1739683960.520,-48.828,-54.199,-43.945,-49.805,0.000,sab
1739683960.524,-32.227,-50.293,-41.992,-38.574,0.000,sab
1739683960.528,-33.203,-42.969,-42.480,-34.668,0.000,sab
1739683960.532,-27.344,-38.086,-43.457,-34.180,0.000,sab
1739683960.536,-22.461,-38.574,-42.969,-30.762,0.000,sab
1739683960.540,-32.715,-42.480,-40.527,-31.738,0.000,sab
1739683960.544,-26.855,-43.945,-38.574,-28.320,0.000,sab
1739683960.547,-21.973,-40.039,-40.527,-22.461,0.000,sab
1739683960.551,-37.109,-40.039,-41.504,-27.832,0.000,sab
1739683960.555,-47.852,-38.574,-42.969,-39.062,0.000,sab
1739683960.559,-43.945,-37.598,-44.922,-36.133,0.000,sab
1739683960.563,-41.016,-45.410,-49.805,-35.156,0.000,sab
1739683960.567,-34.668,-48.828,-49.805,-38.086,0.000,sab
1739683960.571,-29.785,-44.922,-42.969,-35.156,0.000,sab
1739683960.575,-37.598,-45.410,-44.434,-37.598,0.000,sab
1739683960.579,-36.133,-53.711,-45.898,-34.180,0.000,sab
1739683960.583,-27.832,-59.570,-45.898,-25.391,0.000,sab
1739683960.586,-32.227,-51.270,-42.969,-30.762,0.000,sab
1739683960.590,-37.109,-45.410,-36.621,-37.598,0.000,sab
1739683960.594,-35.156,-45.410,-39.062,-34.668,0.000,sab
1739683960.598,-32.715,-46.875,-41.992,-32.227,0.000,sab
1739683960.602,-36.621,-48.340,-41.016,-35.156,0.000,sab
1739683960.606,-37.109,-48.340,-37.109,-32.227,0.000,sab
1739683960.610,-36.133,-46.875,-36.133,-30.762,0.000,sab
1739683960.614,-37.598,-50.293,-42.480,-30.273,0.000,sab
1739683960.618,-47.852,-51.270,-45.410,-38.574,0.000,sab
1739683960.622,-52.734,-49.805,-40.039,-53.223,0.000,sab
1739683960.625,-48.340,-48.340,-40.039,-51.758,0.000,sab
1739683960.629,-52.734,-50.781,-46.875,-46.387,0.000,sab
1739683960.633,-52.734,-50.293,-41.504,-41.016,0.000,sab
1739683960.637,-50.293,-48.828,-38.086,-34.180,0.000,sab
1739683960.641,-48.340,-55.664,-42.480,-34.180,0.000,sab
1739683960.645,-50.781,-58.105,-45.410,-38.574,0.000,sab
1739683960.649,-52.734,-49.316,-41.992,-37.109,0.000,sab
1739683960.653,-49.316,-48.340,-41.992,-32.715,0.000,sab
1739683960.657,-41.016,-49.805,-46.875,-24.902,0.000,sab
1739683960.661,-36.133,-45.898,-49.316,-27.832,0.000,sab
1739683960.665,-43.945,-41.016,-51.758,-46.387,0.000,sab
1739683960.668,-46.387,-39.062,-53.223,-56.152,0.000,sab
1739683960.672,-40.039,-46.387,-53.223,-49.805,0.000,sab
1739683960.676,-41.504,-53.711,-51.270,-47.363,0.000,sab
1739683960.680,-42.480,-54.199,-46.387,-49.316,0.000,sab
1739683960.684,-32.227,-51.758,-43.945,-42.969,0.000,sab
1739683960.688,-27.344,-49.316,-46.387,-38.086,0.000,sab
1739683960.692,-30.762,-49.805,-47.363,-35.156,0.000,sab
1739683960.696,-27.344,-51.758,-47.363,-29.785,0.000,sab
1739683960.700,-33.203,-55.664,-53.711,-37.109,0.000,sab
1739683960.704,-37.598,-56.152,-57.617,-37.598,0.000,sab
1739683960.707,-30.273,-54.199,-50.781,-31.250,0.000,sab
1739683960.711,-34.180,-57.129,-43.945,-34.668,0.000,sab
1739683960.715,-42.480,-59.082,-45.898,-31.250,0.000,sab
1739683960.719,-50.293,-56.641,-47.852,-23.438,0.000,sab
1739683960.723,-65.918,-52.246,-44.922,-36.621,0.000,sab
1739683960.727,-65.430,-51.758,-44.434,-42.480,0.000,sab
1739683960.731,-55.176,-54.199,-47.363,-40.039,0.000,sab
1739683960.735,-59.570,-57.617,-50.781,-46.387,0.000,sab
1739683960.739,-65.430,-60.059,-54.688,-55.176,0.000,sab
1739683960.743,-66.895,-56.152,-53.223,-57.617,0.000,sab
1739683960.747,-63.477,-55.664,-54.688,-54.688,0.000,sab
1739683960.750,-57.617,-53.711,-51.270,-56.152,0.000,sab
1739683960.754,-53.223,-50.293,-44.922,-50.293,0.000,sab
1739683960.758,-42.969,-45.898,-43.457,-41.992,0.000,sab
1739683960.762,-40.039,-47.363,-41.992,-37.598,0.000,sab
1739683960.766,-54.199,-46.875,-44.434,-46.875,0.000,sab
1739683960.770,-59.570,-47.363,-45.410,-53.711,0.000,sab
1739683960.774,-56.641,-46.387,-47.363,-52.734,0.000,sab
1739683960.778,-54.199,-41.504,-48.828,-55.176,0.000,sab
1739683960.782,-51.270,-43.945,-44.922,-58.594,0.000,sab
1739683960.786,-53.223,-45.898,-45.898,-68.848,0.000,sab
1739683960.790,-55.176,-44.922,-46.387,-70.801,0.000,sab
1739683960.793,-53.711,-44.922,-46.387,-63.477,0.000,sab
1739683960.797,-50.781,-49.316,-47.363,-60.547,0.000,sab
1739683960.801,-46.875,-52.734,-47.363,-58.105,0.000,sab
1739683960.805,-48.340,-55.176,-48.828,-54.199,0.000,sab
1739683960.809,-41.992,-52.734,-43.945,-52.734,0.000,sab
1739683960.813,-42.480,-48.340,-34.668,-59.570,0.000,sab
1739683960.817,-44.922,-53.223,-40.039,-54.688,0.000,sab
1739683960.821,-37.109,-55.176,-41.992,-43.457,0.000,sab
1739683960.825,-30.762,-53.223,-40.527,-39.551,0.000,sab
1739683960.829,-40.527,-49.316,-46.387,-44.922,0.000,sab
1739683960.832,-42.480,-44.922,-48.828,-46.875,0.000,sab
1739683960.836,-33.691,-47.852,-48.340,-39.551,0.000,sab
1739683960.840,-34.668,-49.805,-47.852,-37.598,0.000,sab
