timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739683368.712,-11.230,-33.203,-9.277,-13.672,0.000,dhp
1739683368.716,-11.719,-36.621,-3.906,-7.324,0.000,dhp
1739683368.720,-17.578,-33.691,-3.906,-12.695,0.000,dhp
1739683368.724,-17.578,-34.668,-8.789,-15.137,0.000,dhp
1739683368.728,-14.648,-34.180,-5.371,-13.184,0.000,dhp
1739683368.732,-15.625,-37.598,-8.789,-24.414,0.000,dhp
1739683368.736,-14.648,-36.133,-12.695,-23.926,0.000,dhp
1739683368.740,-7.812,-34.180,-12.207,-3.418,0.000,dhp
1739683368.744,-5.371,-44.922,-10.742,5.859,0.000,dhp
1739683368.747,-22.461,-40.039,-3.906,-12.695,0.000,dhp
1739683368.751,-18.555,-31.738,-3.418,-6.836,0.000,dhp
1739683368.755,-4.395,-33.691,-6.348,-3.418,0.000,dhp
1739683368.759,-5.371,-37.109,-7.324,-6.348,0.000,dhp
1739683368.763,-9.277,-32.715,-4.883,-3.418,0.000,dhp
1739683368.767,-15.137,-30.762,-6.348,-4.883,0.000,dhp
1739683368.771,-4.883,-36.133,-10.254,-10.254,0.000,dhp
1739683368.775,-0.977,-36.621,-10.254,-29.297,0.000,dhp
1739683368.779,-21.973,-40.039,-13.184,-27.344,0.000,dhp
1739683368.783,-19.531,-40.527,-12.207,-17.578,0.000,dhp
1739683368.786,0.977,-39.551,-11.719,-9.277,0.000,dhp
1739683368.790,-1.465,-35.645,-7.812,5.859,0.000,dhp
1739683368.794,-18.066,-29.297,-3.906,-2.441,0.000,dhp
1739683368.798,-15.137,-31.250,-8.301,-9.766,0.000,dhp
1739683368.802,-15.137,-32.227,-12.695,-13.184,0.000,dhp
1739683368.806,-19.531,-29.785,-14.648,-23.438,0.000,dhp
1739683368.810,-14.160,-36.133,-15.625,-4.395,0.000,dhp
1739683368.814,-10.254,-40.527,-19.043,-20.996,0.000,dhp
1739683368.818,-24.414,-37.109,-21.484,-31.738,0.000,dhp
1739683368.822,-27.832,-36.621,-20.508,-32.715,0.000,dhp
