timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739683548.002,-20.020,-49.316,-34.180,-4.883,0.000,dhp
1739683548.006,-11.719,-54.199,-37.109,-0.977,0.000,dhp
1739683548.010,-13.184,-56.152,-34.180,-10.254,0.000,dhp
1739683548.014,-14.648,-53.711,-33.203,-14.648,0.000,dhp
1739683548.018,-12.695,-50.781,-38.086,-13.184,0.000,dhp
1739683548.022,-24.414,-49.805,-41.504,-30.273,0.000,dhp
1739683548.026,-32.227,-42.480,-40.039,-40.039,0.000,dhp
1739683548.029,-32.227,-36.621,-41.016,-27.832,0.000,dhp
1739683548.033,-32.715,-42.480,-39.551,-20.508,0.000,dhp
1739683548.037,-23.438,-45.898,-34.180,-19.531,0.000,dhp
1739683548.041,-25.391,-38.574,-29.297,-26.855,0.000,dhp
1739683548.045,-29.785,-35.645,-24.902,-19.531,0.000,dhp
1739683548.049,-19.531,-36.621,-26.367,-11.230,0.000,dhp
1739683548.053,-11.719,-33.691,-27.832,0.000,0.000,dhp
1739683548.057,-26.367,-37.598,-28.320,1.953,0.000,dhp
1739683548.061,-34.180,-45.410,-30.273,11.719,0.000,dhp
1739683548.065,-22.949,-47.363,-27.832,18.555,0.000,dhp
1739683548.068,-37.109,-46.387,-31.738,4.395,0.000,dhp
1739683548.072,-50.781,-40.527,-35.645,-1.465,0.000,dhp
1739683548.076,-37.109,-39.551,-32.715,-0.488,0.000,dhp
1739683548.080,-21.973,-42.480,-35.156,-0.977,0.000,dhp
1739683548.084,-26.855,-41.992,-43.945,-14.160,0.000,dhp
1739683548.088,-36.621,-41.504,-44.434,-23.926,0.000,dhp
1739683548.092,-26.367,-40.039,-42.969,-15.625,0.000,dhp
1739683548.096,-23.926,-39.062,-44.434,-4.883,0.000,dhp
1739683548.100,-27.832,-39.551,-40.039,8.301,0.000,dhp
1739683548.104,-25.879,-45.898,-38.086,3.906,0.000,dhp
1739683548.108,-27.344,-49.316,-42.969,-3.418,0.000,dhp
1739683548.111,-27.832,-47.363,-42.480,2.441,0.000,dhp
1739683548.115,-27.832,-47.363,-42.969,3.906,0.000,dhp
1739683548.119,-31.738,-52.246,-50.781,-9.766,0.000,dhp
1739683548.123,-33.203,-49.805,-50.293,-18.066,0.000,dhp
1739683548.127,-24.902,-48.828,-49.805,-8.301,0.000,dhp
1739683548.131,-30.273,-47.852,-47.852,-13.184,0.000,dhp
1739683548.135,-30.762,-48.340,-45.898,-22.949,0.000,dhp
1739683548.139,-22.461,-47.852,-44.922,-15.625,0.000,dhp
1739683548.143,-21.484,-43.457,-38.574,-7.812,0.000,dhp
1739683548.147,-23.438,-42.480,-38.574,-12.207,0.000,dhp
1739683548.150,-25.879,-48.828,-42.969,-22.949,0.000,dhp
1739683548.154,-20.020,-48.340,-37.598,-13.672,0.000,dhp
1739683548.158,-20.996,-41.504,-38.086,-18.555,0.000,dhp
1739683548.162,-23.926,-43.945,-41.504,-26.855,0.000,dhp
1739683548.166,-21.484,-44.922,-41.504,-25.879,0.000,dhp
1739683548.170,-23.926,-50.781,-37.109,-25.879,0.000,dhp
1739683548.174,-25.879,-53.711,-31.738,-26.855,0.000,dhp
1739683548.178,-30.273,-47.363,-31.738,-37.598,0.000,dhp
1739683548.182,-34.180,-45.410,-30.762,-47.852,0.000,dhp
1739683548.186,-32.715,-49.316,-35.645,-53.223,0.000,dhp
1739683548.189,-33.203,-49.805,-33.691,-54.199,0.000,dhp
1739683548.193,-28.320,-52.246,-35.645,-60.059,0.000,dhp
1739683548.197,-20.508,-53.223,-38.574,-49.316,0.000,dhp
1739683548.201,-18.555,-52.734,-34.180,-34.668,0.000,dhp
1739683548.205,-12.695,-53.711,-31.738,-37.598,0.000,dhp
1739683548.209,-7.812,-49.316,-30.762,-36.133,0.000,dhp
1739683548.213,-9.277,-47.852,-32.715,-36.133,0.000,dhp
1739683548.217,-11.719,-53.711,-36.133,-39.062,0.000,dhp
1739683548.221,-19.531,-47.852,-30.273,-36.133,0.000,dhp
1739683548.225,-22.461,-41.504,-22.461,-37.109,0.000,dhp
1739683548.228,-14.160,-44.434,-25.879,-41.016,0.000,dhp
1739683548.232,-14.160,-41.504,-29.297,-38.574,0.000,dhp
1739683548.236,-22.461,-37.598,-31.250,-38.086,0.000,dhp
1739683548.240,-16.602,-41.016,-32.227,-39.062,0.000,dhp
1739683548.244,-12.695,-48.340,-36.133,-41.504,0.000,dhp
1739683548.248,-18.066,-46.387,-41.504,-41.504,0.000,dhp
1739683548.252,-16.113,-41.992,-40.527,-40.039,0.000,dhp
1739683548.256,-13.184,-47.363,-38.086,-37.109,0.000,dhp
1739683548.260,-16.113,-56.152,-39.062,-36.133,0.000,dhp
1739683548.264,-24.414,-55.664,-38.086,-32.227,0.000,dhp
1739683548.267,-26.855,-50.781,-38.086,-28.809,0.000,dhp
1739683548.271,-17.578,-50.293,-36.621,-21.484,0.000,dhp
1739683548.275,-21.484,-51.270,-34.180,-17.578,0.000,dhp
1739683548.279,-29.785,-50.781,-33.691,-24.902,0.000,dhp
1739683548.283,-32.227,-48.340,-33.203,-24.902,0.000,dhp
1739683548.287,-32.227,-51.758,-33.203,-23.438,0.000,dhp
1739683548.291,-29.297,-52.734,-30.762,-23.926,0.000,dhp
1739683548.295,-28.809,-48.828,-30.273,-33.691,0.000,dhp
1739683548.299,-26.855,-46.387,-31.250,-32.715,0.000,dhp
1739683548.303,-20.508,-47.852,-32.715,-23.438,0.000,dhp
1739683548.307,-12.695,-55.176,-32.227,-20.508,0.000,dhp
