timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739682927.034,-25.879,-57.129,-55.664,-37.598,0.000,null
1739682927.038,-26.855,-57.617,-53.711,-32.715,0.000,null
1739682927.042,-22.949,-57.617,-50.293,-31.250,0.000,null
1739682927.046,-20.996,-58.105,-49.316,-37.109,0.000,null
1739682927.050,-24.414,-58.594,-49.316,-38.574,0.000,null
1739682927.054,-26.367,-50.781,-51.270,-35.645,0.000,null
1739682927.058,-29.785,-53.223,-52.246,-31.250,0.000,null
1739682927.062,-26.855,-62.012,-53.711,-26.855,0.000,null
1739682927.065,-32.715,-60.547,-53.711,-29.297,0.000,null
1739682927.069,-32.227,-57.617,-51.270,-23.926,0.000,null
1739682927.073,-19.043,-56.641,-54.199,-23.438,0.000,null
1739682927.077,-22.949,-58.594,-55.176,-34.668,0.000,null
1739682927.081,-29.297,-57.617,-53.711,-31.250,0.000,null
1739682927.085,-27.344,-54.688,-51.758,-22.461,0.000,null
1739682927.089,-28.320,-52.734,-49.805,-22.949,0.000,null
1739682927.093,-33.203,-49.316,-46.875,-28.809,0.000,null
1739682927.097,-32.227,-49.805,-47.852,-38.086,0.000,null
1739682927.100,-23.438,-53.711,-48.828,-40.039,0.000,null
1739682927.104,-29.785,-53.711,-46.875,-26.367,0.000,null
1739682927.108,-37.109,-52.734,-53.711,-28.320,0.000,null
1739682927.112,-29.297,-51.758,-54.688,-38.574,0.000,null
1739682927.116,-20.508,-51.270,-48.340,-33.691,0.000,null
1739682927.120,-25.879,-52.246,-48.340,-25.879,0.000,null
1739682927.124,-27.832,-51.270,-50.781,-30.273,0.000,null
1739682927.128,-23.438,-50.293,-48.340,-31.738,0.000,null
1739682927.132,-24.414,-50.781,-42.480,-33.203,0.000,null
1739682927.135,-28.809,-55.176,-42.480,-35.645,0.000,null
1739682927.139,-27.832,-52.246,-44.434,-39.551,0.000,null
1739682927.143,-21.973,-46.875,-46.875,-37.598,0.000,null
1739682927.147,-19.531,-51.758,-46.875,-31.250,0.000,null
1739682927.151,-12.207,-56.641,-48.828,-28.320,0.000,null
1739682927.155,-12.695,-48.340,-47.852,-32.715,0.000,null
1739682927.159,-17.090,-50.781,-46.875,-32.227,0.000,null
1739682927.163,-18.066,-57.617,-48.828,-33.691,0.000,null
1739682927.167,-19.043,-52.246,-49.805,-38.086,0.000,null
1739682927.171,-24.902,-52.246,-47.363,-33.203,0.000,null
1739682927.174,-26.855,-56.152,-51.270,-30.273,0.000,null
1739682927.178,-28.320,-59.570,-60.547,-35.156,0.000,null
1739682927.182,-28.320,-55.664,-52.734,-37.109,0.000,null
1739682927.186,-22.461,-49.805,-46.387,-30.273,0.000,null
1739682927.190,-19.043,-53.711,-48.340,-22.461,0.000,null
1739682927.194,-23.438,-58.594,-45.410,-26.367,0.000,null
1739682927.198,-21.484,-58.594,-44.922,-39.062,0.000,null
1739682927.202,-26.855,-56.152,-44.922,-41.016,0.000,null
1739682927.206,-34.668,-57.617,-47.363,-41.016,0.000,null
1739682927.209,-33.691,-57.617,-49.805,-38.574,0.000,null
1739682927.213,-32.227,-55.176,-51.758,-36.133,0.000,null
1739682927.217,-36.621,-56.641,-59.082,-47.852,0.000,null
1739682927.221,-42.969,-60.059,-63.965,-51.758,0.000,null
1739682927.225,-46.387,-62.988,-62.012,-45.410,0.000,null
1739682927.229,-45.410,-58.594,-56.641,-47.852,0.000,null
1739682927.233,-37.598,-58.594,-56.152,-51.270,0.000,null
1739682927.237,-29.785,-60.059,-55.176,-43.457,0.000,null
1739682927.241,-22.949,-59.570,-52.734,-34.180,0.000,null
1739682927.244,-19.043,-62.500,-50.293,-30.273,0.000,null
1739682927.248,-19.531,-62.500,-47.363,-34.180,0.000,null
1739682927.252,-23.926,-59.570,-49.805,-39.062,0.000,null
1739682927.256,-36.621,-65.430,-52.246,-37.598,0.000,null
