timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739685081.901,-58.105,-21.484,-56.152,-31.738,0.000,CFM
1739685081.905,-63.477,-24.902,-56.641,-42.480,0.000,CFM
1739685081.909,-58.594,-22.949,-63.477,-33.691,0.000,CFM
1739685081.913,-54.688,-24.902,-57.617,-33.691,0.000,CFM
1739685081.917,-52.734,-24.414,-53.223,-55.664,0.000,CFM
1739685081.921,-47.363,-20.996,-50.781,-43.945,0.000,CFM
1739685081.925,-41.992,-31.738,-44.434,-35.156,0.000,CFM
1739685081.928,-28.320,-32.715,-45.898,-28.809,0.000,CFM
1739685081.932,-25.391,-21.973,-46.387,-27.832,0.000,CFM
1739685081.936,-32.715,-16.113,-50.781,-41.016,0.000,CFM
1739685081.940,-36.621,-24.414,-52.734,-42.969,0.000,CFM
1739685081.944,-30.273,-32.227,-49.316,-34.668,0.000,CFM
1739685081.948,-42.969,-29.785,-53.223,-40.527,0.000,CFM
1739685081.952,-48.828,-24.902,-50.293,-44.434,0.000,CFM
1739685081.956,-31.250,-26.367,-43.457,-37.109,0.000,CFM
1739685081.960,-42.480,-29.297,-38.574,-53.223,0.000,CFM
1739685081.964,-53.711,-26.855,-37.598,-57.129,0.000,CFM
1739685081.968,-40.527,-25.391,-46.875,-37.598,0.000,CFM
1739685081.971,-41.016,-29.297,-51.758,-27.832,0.000,CFM
1739685081.975,-36.621,-31.250,-45.410,-29.297,0.000,CFM
1739685081.979,-24.414,-13.672,-39.551,-22.461,0.000,CFM
1739685081.983,-40.527,-22.461,-38.086,-32.715,0.000,CFM
1739685081.987,-48.340,-39.551,-40.527,-41.504,0.000,CFM
1739685081.991,-53.223,-35.645,-40.039,-32.715,0.000,CFM
1739685081.995,-68.359,-31.738,-38.086,-39.551,0.000,CFM
1739685081.999,-62.500,-31.738,-36.133,-39.062,0.000,CFM
1739685082.003,-59.570,-32.715,-33.691,-40.527,0.000,CFM
1739685082.007,-61.523,-29.785,-31.738,-48.340,0.000,CFM
1739685082.011,-62.012,-32.227,-28.809,-41.992,0.000,CFM
1739685082.014,-67.383,-32.227,-29.785,-41.992,0.000,CFM
1739685082.018,-62.988,-32.227,-30.762,-40.527,0.000,CFM
1739685082.022,-62.500,-33.691,-22.949,-42.969,0.000,CFM
1739685082.026,-57.617,-32.715,-18.555,-41.504,0.000,CFM
1739685082.030,-55.176,-26.367,-16.113,-50.293,0.000,CFM
1739685082.034,-48.828,-25.879,-8.789,-45.898,0.000,CFM
1739685082.038,-42.969,-28.320,-5.371,-37.109,0.000,CFM
1739685082.042,-50.293,-26.855,-2.930,-45.410,0.000,CFM
1739685082.046,-42.480,-23.926,4.395,-41.992,0.000,CFM
1739685082.050,-30.273,-23.438,6.348,-34.180,0.000,CFM
1739685082.053,-34.668,-25.391,11.230,-36.621,0.000,CFM
