timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739684020.278,-25.391,-27.344,-20.508,-9.766,0.000,sab
1739684020.282,-23.438,-33.203,-15.625,-9.766,0.000,sab
1739684020.286,-31.250,-28.809,-18.555,-16.602,0.000,sab
1739684020.290,-38.086,-29.297,-22.949,-28.320,0.000,sab
1739684020.294,-27.344,-29.785,-24.414,-13.672,0.000,sab
1739684020.298,-11.719,-26.855,-24.902,-7.324,0.000,sab
1739684020.301,-19.043,-28.320,-21.973,-12.207,0.000,sab
1739684020.305,-18.066,-29.785,-19.531,-0.488,0.000,sab
1739684020.309,-2.930,-30.762,-28.809,0.000,0.000,sab
1739684020.313,-10.742,-29.297,-31.250,-18.555,0.000,sab
1739684020.317,-11.230,-28.320,-22.461,-25.879,0.000,sab
1739684020.321,-7.812,-27.832,-22.949,-19.043,0.000,sab
1739684020.325,-11.719,-25.391,-27.344,-14.160,0.000,sab
1739684020.329,-10.742,-22.461,-30.762,-13.184,0.000,sab
1739684020.333,-14.648,-25.879,-33.203,-8.301,0.000,sab
1739684020.337,-17.090,-26.367,-27.832,-5.371,0.000,sab
1739684020.341,-17.090,-28.320,-25.879,-12.695,0.000,sab
1739684020.344,-10.742,-29.785,-25.879,-14.648,0.000,sab
1739684020.348,-14.160,-27.344,-23.926,-5.859,0.000,sab
1739684020.352,-30.273,-30.273,-24.414,-5.859,0.000,sab
1739684020.356,-32.715,-33.691,-22.461,-13.672,0.000,sab
1739684020.360,-30.273,-25.879,-19.531,-15.625,0.000,sab
1739684020.364,-24.414,-22.461,-28.320,-10.742,0.000,sab
1739684020.368,-25.391,-25.879,-31.250,-9.277,0.000,sab
1739684020.372,-20.996,-25.879,-25.391,-3.906,0.000,sab
1739684020.376,-12.695,-20.508,-21.484,-7.324,0.000,sab
1739684020.380,-15.137,-21.973,-21.973,-4.883,0.000,sab
1739684020.383,-14.160,-30.762,-22.461,3.906,0.000,sab
1739684020.387,-16.113,-31.250,-19.043,1.465,0.000,sab
1739684020.391,-18.066,-30.762,-21.973,0.488,0.000,sab
1739684020.395,-25.391,-24.902,-28.320,-2.930,0.000,sab
1739684020.399,-23.926,-21.973,-26.855,0.977,0.000,sab
1739684020.403,-26.855,-21.484,-27.344,0.488,0.000,sab
1739684020.407,-26.367,-25.391,-25.391,-3.418,0.000,sab
1739684020.411,-15.625,-30.762,-22.461,0.977,0.000,sab
1739684020.415,-16.602,-23.926,-19.531,7.324,0.000,sab
1739684020.419,-13.672,-24.414,-22.949,7.812,0.000,sab
1739684020.423,-12.207,-24.902,-28.809,-7.812,0.000,sab
1739684020.426,-11.230,-19.531,-34.180,-10.742,0.000,sab
1739684020.430,-16.602,-19.043,-35.645,-6.348,0.000,sab
1739684020.434,-17.578,-22.461,-30.273,-0.977,0.000,sab
1739684020.438,-13.672,-29.297,-29.785,-1.953,0.000,sab
1739684020.442,-15.625,-32.715,-34.180,-7.812,0.000,sab
1739684020.446,-12.207,-27.832,-33.203,-5.859,0.000,sab
1739684020.450,-5.371,-18.555,-26.367,-9.766,0.000,sab
1739684020.454,-3.418,-20.020,-27.344,-15.625,0.000,sab
1739684020.458,0.000,-19.531,-27.832,-8.789,0.000,sab
1739684020.461,-1.465,-15.137,-23.438,-5.371,0.000,sab
1739684020.465,5.371,-20.508,-21.484,-22.949,0.000,sab
1739684020.469,-1.953,-18.555,-25.391,-29.785,0.000,sab
1739684020.473,-21.973,-13.184,-30.273,-25.879,0.000,sab
1739684020.477,-13.184,-18.066,-27.344,-27.344,0.000,sab
1739684020.481,-11.719,-22.949,-24.902,-23.926,0.000,sab
1739684020.485,-16.602,-24.902,-27.344,-19.043,0.000,sab
1739684020.489,-12.207,-24.414,-31.250,-23.438,0.000,sab
1739684020.493,-11.230,-16.602,-28.809,-20.508,0.000,sab
1739684020.497,-13.672,-15.625,-22.949,-12.207,0.000,sab
1739684020.501,-6.348,-25.391,-20.508,-10.742,0.000,sab
1739684020.504,4.395,-22.949,-23.926,-17.578,0.000,sab
1739684020.508,10.742,-17.578,-27.832,-23.438,0.000,sab
1739684020.512,13.672,-16.113,-27.832,-15.625,0.000,sab
1739684020.516,3.906,-18.555,-28.320,-10.254,0.000,sab
1739684020.520,-5.371,-26.367,-29.785,-18.555,0.000,sab
1739684020.524,-6.348,-24.414,-30.762,-27.832,0.000,sab
1739684020.528,-6.836,-15.137,-29.785,-30.273,0.000,sab
1739684020.532,-1.465,-13.672,-30.762,-22.461,0.000,sab
1739684020.536,5.859,-11.719,-24.902,-14.160,0.000,sab
1739684020.540,4.883,-14.648,-21.973,-16.602,0.000,sab
1739684020.544,0.000,-19.531,-29.785,-20.020,0.000,sab
1739684020.547,-3.418,-15.137,-32.227,-14.648,0.000,sab
1739684020.551,-5.859,-9.766,-28.320,-11.719,0.000,sab
1739684020.555,-16.602,-13.672,-22.949,-5.859,0.000,sab
1739684020.559,-33.203,-25.391,-22.461,-4.395,0.000,sab
1739684020.563,-37.598,-28.809,-27.344,-12.695,0.000,sab
1739684020.567,-41.504,-25.391,-29.785,-8.789,0.000,sab
1739684020.571,-39.551,-26.367,-31.738,-5.859,0.000,sab
1739684020.575,-32.227,-29.785,-29.297,-7.324,0.000,sab
1739684020.579,-26.855,-31.738,-25.879,-4.395,0.000,sab
1739684020.583,-37.109,-28.320,-25.879,-15.625,0.000,sab
1739684020.586,-47.852,-27.344,-25.879,-26.855,0.000,sab
1739684020.590,-31.738,-27.832,-30.762,-20.996,0.000,sab
1739684020.594,-18.066,-27.832,-34.180,-16.113,0.000,sab
1739684020.598,-19.043,-28.320,-30.273,-14.160,0.000,sab
1739684020.602,-20.020,-26.367,-32.227,-17.578,0.000,sab
1739684020.606,-10.254,-27.832,-33.203,-15.625,0.000,sab
1739684020.610,-12.207,-29.785,-27.344,-13.184,0.000,sab
1739684020.614,-22.461,-29.785,-19.043,-12.695,0.000,sab
1739684020.618,-12.207,-26.367,-17.090,-6.348,0.000,sab
1739684020.622,-13.184,-20.020,-24.414,-23.926,0.000,sab
1739684020.626,-18.555,-22.949,-31.250,-34.668,0.000,sab
1739684020.629,-12.695,-22.949,-29.785,-30.762,0.000,sab
1739684020.633,-20.020,-20.508,-26.855,-37.598,0.000,sab
1739684020.637,-18.555,-20.996,-32.715,-35.156,0.000,sab
1739684020.641,-11.719,-24.902,-36.133,-32.227,0.000,sab
1739684020.645,-11.719,-27.344,-30.273,-33.691,0.000,sab
1739684020.649,-15.137,-26.855,-30.762,-29.297,0.000,sab
1739684020.653,-16.113,-31.738,-30.762,-30.273,0.000,sab
1739684020.657,-11.230,-34.180,-30.273,-26.855,0.000,sab
1739684020.661,-13.184,-30.762,-31.250,-29.785,0.000,sab
1739684020.665,-19.043,-30.273,-33.691,-33.203,0.000,sab
1739684020.668,-24.414,-33.691,-35.645,-28.320,0.000,sab
1739684020.672,-31.738,-37.598,-31.738,-23.926,0.000,sab
1739684020.676,-35.156,-33.691,-29.297,-21.973,0.000,sab
1739684020.680,-27.832,-30.762,-30.762,-15.137,0.000,sab
1739684020.684,-21.484,-39.551,-30.273,-3.906,0.000,sab
1739684020.688,-21.973,-40.527,-22.461,-6.348,0.000,sab
1739684020.692,-22.461,-32.227,-18.555,-4.883,0.000,sab
1739684020.696,-22.461,-30.273,-18.066,9.277,0.000,sab
1739684020.700,-16.602,-30.762,-17.090,13.672,0.000,sab
1739684020.704,-12.207,-23.926,-15.625,11.719,0.000,sab
1739684020.708,-11.719,-24.902,-17.090,13.184,0.000,sab
1739684020.711,-14.648,-27.344,-20.996,1.953,0.000,sab
1739684020.715,-17.090,-25.391,-20.996,2.441,0.000,sab
1739684020.719,-4.395,-22.461,-19.531,12.207,0.000,sab
1739684020.723,6.836,-20.020,-18.066,15.625,0.000,sab
1739684020.727,5.859,-21.973,-20.508,21.973,0.000,sab
1739684020.731,0.977,-20.020,-18.066,20.996,0.000,sab
1739684020.735,-2.930,-10.254,-16.113,9.277,0.000,sab
1739684020.739,-15.625,-15.625,-26.367,1.465,0.000,sab
1739684020.743,-31.250,-32.715,-32.715,-4.395,0.000,sab
1739684020.747,-28.809,-34.180,-33.203,-1.953,0.000,sab
1739684020.750,-27.344,-27.344,-30.762,1.953,0.000,sab
1739684020.754,-17.090,-29.785,-32.715,-2.930,0.000,sab
1739684020.758,-1.465,-27.344,-28.320,0.977,0.000,sab
1739684020.762,-1.465,-22.461,-20.996,7.324,0.000,sab
1739684020.766,-8.789,-22.949,-28.320,7.324,0.000,sab
1739684020.770,-11.719,-18.555,-26.367,11.230,0.000,sab
1739684020.774,-22.461,-16.113,-24.902,16.602,0.000,sab
1739684020.778,-35.156,-21.973,-23.926,7.812,0.000,sab
1739684020.782,-35.156,-22.949,-18.066,4.883,0.000,sab
1739684020.786,-28.320,-24.902,-17.090,16.113,0.000,sab
1739684020.789,-18.066,-27.832,-20.996,19.043,0.000,sab
1739684020.793,-13.184,-20.996,-32.715,9.277,0.000,sab
1739684020.797,-18.555,-18.555,-38.574,0.488,0.000,sab
1739684020.801,-15.137,-22.949,-33.203,0.000,0.000,sab
1739684020.805,-20.508,-23.926,-27.344,4.395,0.000,sab
1739684020.809,-29.785,-25.391,-28.320,6.836,0.000,sab
1739684020.813,-23.438,-27.344,-28.809,6.836,0.000,sab
1739684020.817,-19.043,-27.832,-30.273,3.906,0.000,sab
1739684020.821,-27.832,-27.832,-32.227,0.977,0.000,sab
1739684020.825,-39.062,-26.855,-28.809,0.000,0.000,sab
1739684020.829,-34.180,-28.809,-23.926,2.930,0.000,sab
1739684020.832,-25.879,-24.902,-28.320,0.000,0.000,sab
1739684020.836,-26.855,-20.996,-31.250,-4.883,0.000,sab
1739684020.840,-24.414,-22.949,-29.785,-5.859,0.000,sab
1739684020.844,-14.160,-23.926,-30.762,-5.371,0.000,sab
1739684020.848,-14.648,-22.949,-36.133,-17.578,0.000,sab
1739684020.852,-25.391,-23.438,-37.598,-27.832,0.000,sab
1739684020.856,-30.762,-30.273,-36.133,-25.391,0.000,sab
1739684020.860,-16.602,-29.297,-36.621,-22.949,0.000,sab
1739684020.864,-9.277,-29.785,-34.668,-8.301,0.000,sab
1739684020.868,-3.906,-26.367,-29.297,-2.930,0.000,sab
1739684020.871,-4.395,-21.973,-24.902,-5.371,0.000,sab
1739684020.875,-8.301,-23.438,-23.926,-2.441,0.000,sab
1739684020.879,2.930,-21.973,-22.949,4.883,0.000,sab
