timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739685102.897,1.953,-39.551,-38.086,-24.414,0.000,CFM
1739685102.901,-3.418,-41.016,-43.945,-26.367,0.000,CFM
1739685102.905,-1.465,-40.527,-45.898,-27.344,0.000,CFM
1739685102.909,-3.418,-43.457,-45.410,-30.273,0.000,CFM
1739685102.913,-9.766,-42.480,-44.434,-38.086,0.000,CFM
1739685102.917,-9.277,-38.086,-37.598,-44.922,0.000,CFM
1739685102.921,-10.254,-42.969,-36.621,-45.898,0.000,CFM
1739685102.925,-11.719,-54.199,-39.062,-41.016,0.000,CFM
1739685102.928,-9.766,-53.711,-38.086,-37.109,0.000,CFM
1739685102.932,-13.184,-46.875,-38.574,-32.227,0.000,CFM
1739685102.936,-10.254,-44.434,-41.992,-25.879,0.000,CFM
1739685102.940,-5.859,-37.598,-43.457,-24.414,0.000,CFM
1739685102.944,-10.254,-34.180,-38.086,-16.602,0.000,CFM
1739685102.948,-19.043,-42.480,-40.527,-10.742,0.000,CFM
1739685102.952,-20.020,-46.387,-40.039,-10.254,0.000,CFM
1739685102.956,-22.461,-46.387,-37.598,-15.137,0.000,CFM
1739685102.960,-29.785,-44.922,-34.180,-19.043,0.000,CFM
1739685102.964,-34.668,-44.922,-29.297,-21.973,0.000,CFM
1739685102.968,-34.668,-45.898,-38.086,-32.715,0.000,CFM
1739685102.971,-27.344,-45.410,-43.945,-40.039,0.000,CFM
1739685102.975,-20.996,-36.133,-39.551,-45.410,0.000,CFM
1739685102.979,-11.230,-27.344,-37.598,-43.945,0.000,CFM
1739685102.983,-7.324,-26.367,-42.480,-37.598,0.000,CFM
1739685102.987,-12.207,-28.809,-46.875,-32.715,0.000,CFM
1739685102.991,-12.695,-29.297,-41.992,-30.762,0.000,CFM
1739685102.995,-19.531,-30.762,-45.898,-39.551,0.000,CFM
1739685102.999,-23.438,-33.203,-49.316,-41.504,0.000,CFM
1739685103.003,-16.602,-30.273,-41.016,-38.086,0.000,CFM
1739685103.007,-10.742,-28.809,-38.086,-35.156,0.000,CFM
1739685103.010,-6.836,-29.785,-35.156,-26.367,0.000,CFM
1739685103.014,-8.789,-34.668,-39.551,-28.320,0.000,CFM
1739685103.018,-11.230,-40.527,-45.410,-32.227,0.000,CFM
1739685103.022,-6.836,-35.156,-35.645,-27.832,0.000,CFM
1739685103.026,-11.230,-30.273,-32.715,-25.391,0.000,CFM
1739685103.030,-14.648,-33.691,-36.133,-31.250,0.000,CFM
1739685103.034,-13.184,-33.691,-34.180,-34.180,0.000,CFM
1739685103.038,-19.043,-24.902,-30.762,-36.133,0.000,CFM
1739685103.042,-16.113,-22.949,-39.062,-43.457,0.000,CFM
1739685103.046,-12.207,-31.250,-42.969,-43.945,0.000,CFM
1739685103.050,-20.508,-33.203,-39.551,-45.410,0.000,CFM
1739685103.053,-23.926,-32.715,-47.852,-46.875,0.000,CFM
1739685103.057,-16.113,-33.203,-53.711,-39.551,0.000,CFM
1739685103.061,-13.672,-34.180,-48.828,-38.574,0.000,CFM
1739685103.065,-12.695,-32.227,-40.039,-44.434,0.000,CFM
1739685103.069,-13.672,-30.762,-38.086,-41.992,0.000,CFM
1739685103.073,-4.883,-30.273,-37.598,-37.109,0.000,CFM
1739685103.077,-2.930,-31.738,-38.574,-38.574,0.000,CFM
1739685103.081,-6.348,-29.785,-37.598,-39.551,0.000,CFM
1739685103.085,-8.301,-24.902,-36.621,-41.504,0.000,CFM
1739685103.089,-6.836,-28.809,-40.039,-42.480,0.000,CFM
1739685103.093,0.000,-28.320,-42.480,-39.551,0.000,CFM
1739685103.096,-3.906,-30.273,-40.527,-38.086,0.000,CFM
