timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739682705.301,22.949,-19.043,-25.879,1.953,0.000,null
1739682705.305,23.926,-12.695,-21.484,6.348,0.000,null
1739682705.309,19.531,-12.207,-19.531,11.230,0.000,null
1739682705.313,13.672,-18.066,-17.578,15.137,0.000,null
1739682705.317,3.906,-17.090,-17.090,16.602,0.000,null
1739682705.320,-7.812,-20.020,-24.902,2.930,0.000,null
1739682705.324,-17.578,-31.250,-36.133,-9.277,0.000,null
1739682705.328,-19.531,-29.785,-33.691,-9.277,0.000,null
1739682705.332,-10.254,-27.344,-31.250,-6.836,0.000,null
1739682705.336,-6.836,-30.762,-28.320,-3.418,0.000,null
1739682705.340,-12.207,-30.273,-25.879,-10.742,0.000,null
1739682705.344,-12.207,-33.691,-32.227,-8.789,0.000,null
1739682705.348,-5.371,-30.762,-31.738,3.418,0.000,null
1739682705.351,-3.418,-20.020,-30.273,3.418,0.000,null
1739682705.355,-5.859,-19.531,-36.621,-2.441,0.000,null
1739682705.359,-11.230,-28.320,-35.156,-12.207,0.000,null
1739682705.363,-15.625,-32.715,-27.832,-18.555,0.000,null
1739682705.367,-20.996,-33.203,-28.320,-16.113,0.000,null
1739682705.371,-24.902,-33.203,-28.809,-13.184,0.000,null
1739682705.375,-20.020,-35.156,-27.832,-11.719,0.000,null
1739682705.379,-14.160,-36.133,-28.320,-3.906,0.000,null
1739682705.383,-16.113,-30.273,-31.250,-18.555,0.000,null
1739682705.386,-22.461,-32.227,-33.203,-32.715,0.000,null
1739682705.390,-28.320,-37.109,-37.109,-26.855,0.000,null
1739682705.394,-27.344,-34.668,-40.527,-25.879,0.000,null
1739682705.398,-17.090,-30.273,-34.180,-28.320,0.000,null
1739682705.402,-18.555,-32.715,-32.227,-31.250,0.000,null
1739682705.406,-17.090,-33.691,-34.668,-29.785,0.000,null
1739682705.410,-15.625,-32.227,-35.156,-28.320,0.000,null
1739682705.414,-18.555,-36.133,-38.574,-26.855,0.000,null
1739682705.417,-26.367,-43.457,-35.156,-34.180,0.000,null
1739682705.421,-25.391,-41.016,-27.832,-37.109,0.000,null
1739682705.425,-27.344,-34.668,-29.297,-32.227,0.000,null
