timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739683619.143,-36.133,-33.691,-33.691,-39.062,0.000,dhp
1739683619.147,-40.039,-36.133,-29.297,-45.898,0.000,dhp
1739683619.151,-46.387,-41.016,-26.367,-38.086,0.000,dhp
1739683619.155,-42.969,-41.992,-27.344,-34.180,0.000,dhp
1739683619.159,-34.668,-42.480,-31.738,-36.133,0.000,dhp
1739683619.163,-29.297,-42.969,-32.227,-27.832,0.000,dhp
1739683619.166,-23.926,-44.434,-31.250,-30.273,0.000,dhp
1739683619.170,-13.184,-43.945,-30.273,-21.973,0.000,dhp
1739683619.174,-15.625,-41.504,-28.320,-13.184,0.000,dhp
1739683619.178,-18.555,-37.598,-32.227,-20.996,0.000,dhp
1739683619.182,-13.184,-32.715,-37.598,-20.020,0.000,dhp
1739683619.186,-20.508,-37.598,-39.062,-22.461,0.000,dhp
1739683619.190,-25.391,-41.016,-38.086,-28.809,0.000,dhp
1739683619.194,-24.414,-38.574,-37.598,-29.297,0.000,dhp
1739683619.198,-26.367,-42.480,-35.156,-30.762,0.000,dhp
1739683619.202,-26.855,-40.039,-29.297,-27.832,0.000,dhp
1739683619.205,-30.762,-34.668,-23.926,-27.832,0.000,dhp
1739683619.209,-28.809,-40.039,-26.367,-30.762,0.000,dhp
1739683619.213,-20.996,-42.480,-32.227,-31.738,0.000,dhp
1739683619.217,-22.461,-41.992,-31.250,-33.203,0.000,dhp
1739683619.221,-34.668,-40.527,-29.785,-40.527,0.000,dhp
1739683619.225,-43.457,-39.551,-34.180,-38.086,0.000,dhp
1739683619.229,-50.781,-46.875,-32.227,-41.992,0.000,dhp
1739683619.233,-57.129,-49.805,-35.156,-54.688,0.000,dhp
1739683619.237,-58.594,-46.875,-41.016,-58.594,0.000,dhp
1739683619.241,-56.641,-46.387,-34.668,-49.805,0.000,dhp
1739683619.244,-51.270,-47.363,-31.250,-44.922,0.000,dhp
1739683619.248,-58.594,-47.363,-27.832,-41.504,0.000,dhp
1739683619.252,-60.547,-44.434,-24.902,-35.645,0.000,dhp
1739683619.256,-53.711,-44.434,-28.809,-37.598,0.000,dhp
1739683619.260,-53.711,-47.852,-32.715,-31.250,0.000,dhp
1739683619.264,-53.223,-43.945,-31.738,-28.320,0.000,dhp
1739683619.268,-47.852,-38.574,-29.785,-27.832,0.000,dhp
1739683619.272,-49.316,-42.969,-32.715,-25.879,0.000,dhp
1739683619.276,-47.852,-42.969,-27.832,-29.785,0.000,dhp
1739683619.280,-44.922,-40.039,-21.973,-33.203,0.000,dhp
1739683619.284,-41.992,-39.551,-22.949,-31.250,0.000,dhp
1739683619.287,-31.738,-42.969,-24.414,-24.902,0.000,dhp
1739683619.291,-31.738,-42.480,-26.855,-18.555,0.000,dhp
1739683619.295,-29.785,-34.180,-25.879,-15.625,0.000,dhp
1739683619.299,-12.695,-33.203,-26.367,-19.531,0.000,dhp
1739683619.303,-14.160,-39.551,-28.809,-19.043,0.000,dhp
1739683619.307,-29.297,-41.504,-27.832,-20.996,0.000,dhp
1739683619.311,-35.156,-39.062,-24.902,-24.414,0.000,dhp
1739683619.315,-38.086,-38.574,-24.902,-19.531,0.000,dhp
1739683619.319,-40.039,-43.945,-25.879,-21.484,0.000,dhp
1739683619.323,-39.062,-42.480,-27.832,-24.902,0.000,dhp
1739683619.326,-34.668,-37.109,-30.762,-21.973,0.000,dhp
1739683619.330,-30.762,-39.062,-24.414,-21.973,0.000,dhp
1739683619.334,-39.062,-42.969,-20.996,-34.180,0.000,dhp
1739683619.338,-39.062,-46.875,-22.949,-37.598,0.000,dhp
1739683619.342,-29.785,-47.363,-25.391,-30.273,0.000,dhp
1739683619.346,-26.855,-47.363,-30.273,-27.344,0.000,dhp
1739683619.350,-21.973,-50.293,-28.809,-26.855,0.000,dhp
1739683619.354,-24.414,-54.199,-28.320,-29.297,0.000,dhp
1739683619.358,-28.320,-51.270,-29.785,-30.762,0.000,dhp
1739683619.362,-24.902,-51.758,-33.203,-27.832,0.000,dhp
1739683619.365,-19.043,-51.758,-31.738,-22.461,0.000,dhp
1739683619.369,-16.602,-47.852,-28.320,-22.949,0.000,dhp
1739683619.373,-12.695,-42.480,-26.855,-22.949,0.000,dhp
1739683619.377,-5.371,-40.527,-26.367,-17.090,0.000,dhp
1739683619.381,-11.719,-49.316,-27.832,-11.719,0.000,dhp
1739683619.385,-14.648,-55.664,-31.250,-17.090,0.000,dhp
1739683619.389,-6.348,-53.711,-31.738,-14.160,0.000,dhp
1739683619.393,-6.348,-51.270,-28.809,-5.859,0.000,dhp
1739683619.397,-19.043,-47.852,-28.320,-13.672,0.000,dhp
