timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739684071.300,-15.137,-39.062,-37.598,-20.508,0.000,sab
1739684071.304,-18.066,-43.945,-44.434,-31.738,0.000,sab
1739684071.308,-28.809,-46.387,-45.410,-41.016,0.000,sab
1739684071.312,-33.203,-40.039,-43.457,-40.527,0.000,sab
1739684071.315,-36.133,-44.922,-48.340,-47.852,0.000,sab
1739684071.319,-41.016,-49.805,-53.711,-59.082,0.000,sab
1739684071.323,-44.434,-49.805,-55.176,-58.594,0.000,sab
1739684071.327,-48.828,-50.293,-52.734,-62.500,0.000,sab
1739684071.331,-41.992,-49.805,-50.293,-60.547,0.000,sab
1739684071.335,-29.297,-45.898,-44.434,-50.293,0.000,sab
1739684071.339,-31.738,-40.527,-40.527,-55.176,0.000,sab
1739684071.343,-35.156,-42.969,-44.922,-56.152,0.000,sab
1739684071.347,-27.344,-45.898,-45.410,-42.480,0.000,sab
1739684071.351,-14.160,-42.969,-42.969,-35.645,0.000,sab
1739684071.355,-13.672,-38.574,-44.922,-38.086,0.000,sab
1739684071.358,-19.043,-38.574,-42.480,-32.227,0.000,sab
1739684071.362,-7.812,-38.574,-37.598,-27.832,0.000,sab
1739684071.366,-9.277,-39.062,-35.156,-31.250,0.000,sab
1739684071.370,-18.555,-42.480,-35.156,-33.203,0.000,sab
1739684071.374,-11.719,-40.039,-37.598,-33.691,0.000,sab
1739684071.378,-15.625,-41.504,-44.922,-40.527,0.000,sab
1739684071.382,-22.949,-46.387,-48.340,-52.246,0.000,sab
1739684071.386,-15.625,-40.527,-39.062,-51.270,0.000,sab
1739684071.390,-6.836,-42.969,-36.133,-41.016,0.000,sab
1739684071.394,-13.184,-45.898,-41.992,-38.574,0.000,sab
1739684071.398,-19.531,-39.062,-38.086,-35.645,0.000,sab
1739684071.401,-12.207,-37.598,-34.668,-28.809,0.000,sab
1739684071.405,-8.789,-41.016,-37.598,-23.926,0.000,sab
1739684071.409,-18.066,-42.969,-35.156,-29.297,0.000,sab
1739684071.413,-31.738,-43.457,-35.645,-32.715,0.000,sab
1739684071.417,-38.574,-41.504,-36.621,-37.109,0.000,sab
1739684071.421,-40.039,-38.574,-40.039,-41.992,0.000,sab
1739684071.425,-30.762,-39.062,-43.945,-37.109,0.000,sab
1739684071.429,-26.367,-32.715,-38.574,-41.016,0.000,sab
1739684071.433,-30.273,-24.902,-29.785,-43.945,0.000,sab
1739684071.436,-36.621,-30.273,-31.250,-35.156,0.000,sab
1739684071.440,-33.691,-36.133,-38.086,-31.738,0.000,sab
1739684071.444,-28.809,-39.062,-39.551,-38.086,0.000,sab
1739684071.448,-27.344,-41.504,-41.016,-40.039,0.000,sab
1739684071.452,-26.855,-44.434,-42.480,-34.668,0.000,sab
1739684071.456,-35.156,-42.480,-41.016,-30.273,0.000,sab
