timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739682591.471,-42.480,-36.621,-29.297,-31.250,0.000,null
1739682591.475,-37.598,-40.527,-27.344,-31.250,0.000,null
1739682591.479,-48.828,-33.691,-33.203,-39.062,0.000,null
1739682591.483,-53.711,-28.320,-36.621,-47.852,0.000,null
1739682591.487,-45.898,-33.691,-38.086,-46.387,0.000,null
1739682591.491,-39.551,-38.086,-32.227,-30.762,0.000,null
1739682591.494,-31.250,-37.598,-27.832,-20.508,0.000,null
1739682591.498,-31.250,-33.203,-32.715,-24.414,0.000,null
1739682591.502,-22.461,-32.227,-37.598,-22.461,0.000,null
1739682591.506,0.488,-33.203,-36.133,-2.441,0.000,null
1739682591.510,-4.395,-33.203,-38.086,-5.859,0.000,null
1739682591.514,-14.648,-38.574,-35.645,-19.043,0.000,null
1739682591.517,-7.812,-44.434,-29.297,-11.719,0.000,null
1739682591.521,-12.207,-39.551,-34.668,-13.672,0.000,null
1739682591.525,-25.391,-34.180,-41.016,-28.809,0.000,null
1739682591.529,-23.926,-35.156,-40.527,-27.832,0.000,null
1739682591.533,-18.555,-35.156,-44.922,-27.832,0.000,null
1739682591.537,-22.949,-41.016,-43.457,-38.086,0.000,null
1739682591.541,-22.949,-46.387,-35.645,-35.645,0.000,null
1739682591.545,-27.344,-34.180,-35.156,-38.086,0.000,null
1739682591.549,-36.133,-32.227,-42.969,-42.969,0.000,null
1739682591.553,-34.668,-35.645,-45.898,-35.156,0.000,null
1739682591.556,-36.621,-32.227,-37.598,-31.738,0.000,null
1739682591.560,-36.133,-37.109,-29.785,-26.855,0.000,null
1739682591.564,-35.156,-37.598,-32.715,-28.320,0.000,null
1739682591.568,-32.715,-35.156,-28.809,-27.344,0.000,null
1739682591.572,-34.180,-43.945,-23.438,-29.785,0.000,null
1739682591.576,-37.109,-53.223,-28.809,-34.180,0.000,null
1739682591.579,-37.109,-54.688,-40.527,-37.598,0.000,null
1739682591.583,-41.016,-57.617,-40.527,-40.527,0.000,null
1739682591.587,-39.551,-62.012,-34.180,-36.133,0.000,null
1739682591.591,-37.109,-62.988,-34.668,-33.691,0.000,null
1739682591.595,-35.156,-59.570,-42.480,-35.156,0.000,null
1739682591.599,-34.180,-53.711,-38.574,-34.668,0.000,null
1739682591.603,-37.598,-48.340,-30.273,-33.203,0.000,null
1739682591.607,-33.691,-55.664,-32.715,-26.367,0.000,null
1739682591.610,-28.809,-57.129,-31.250,-23.438,0.000,null
1739682591.614,-31.738,-46.387,-31.738,-28.320,0.000,null
1739682591.618,-34.180,-48.828,-40.039,-30.273,0.000,null
1739682591.622,-35.156,-55.176,-40.527,-28.809,0.000,null
1739682591.626,-28.809,-54.688,-38.086,-29.297,0.000,null
1739682591.630,-21.973,-53.223,-35.645,-29.297,0.000,null
1739682591.634,-20.508,-46.387,-38.086,-26.367,0.000,null
1739682591.637,-18.066,-46.387,-43.457,-23.926,0.000,null
1739682591.641,-19.043,-51.758,-36.621,-18.555,0.000,null
1739682591.645,-21.484,-44.922,-28.809,-23.438,0.000,null
1739682591.649,-15.137,-38.574,-33.691,-24.902,0.000,null
1739682591.653,-13.672,-40.527,-41.016,-20.996,0.000,null
1739682591.657,-11.230,-46.387,-39.062,-19.043,0.000,null
1739682591.660,-11.719,-48.828,-33.203,-24.902,0.000,null
1739682591.664,-20.020,-47.852,-31.250,-29.297,0.000,null
1739682591.668,-18.555,-48.340,-31.738,-29.785,0.000,null
1739682591.672,-16.113,-47.363,-28.809,-34.668,0.000,null
1739682591.676,-23.926,-50.781,-30.762,-35.156,0.000,null
1739682591.680,-31.738,-54.199,-36.621,-31.738,0.000,null
1739682591.684,-28.320,-51.270,-34.180,-27.832,0.000,null
1739682591.688,-25.391,-45.410,-29.785,-27.832,0.000,null
1739682591.692,-16.602,-40.039,-27.832,-22.461,0.000,null
1739682591.696,-7.812,-38.086,-25.879,-13.672,0.000,null
1739682591.699,-5.371,-39.062,-29.785,0.488,0.000,null
1739682591.703,-11.719,-35.645,-31.738,1.953,0.000,null
1739682591.707,-21.973,-36.621,-28.320,-8.789,0.000,null
1739682591.711,-24.902,-39.062,-28.320,-3.906,0.000,null
1739682591.715,-25.879,-41.504,-32.227,-4.395,0.000,null
1739682591.719,-20.020,-38.086,-32.227,-8.301,0.000,null
1739682591.722,-20.020,-36.133,-30.273,-3.906,0.000,null
1739682591.726,-19.043,-44.434,-29.297,0.000,0.000,null
1739682591.730,-13.184,-45.410,-30.273,2.441,0.000,null
1739682591.734,-19.531,-34.180,-34.668,-19.531,0.000,null
1739682591.738,-21.484,-32.715,-38.086,-28.320,0.000,null
1739682591.742,-18.555,-36.621,-40.039,-20.020,0.000,null
1739682591.746,-9.277,-38.086,-39.062,-20.020,0.000,null
1739682591.749,-0.488,-35.645,-36.133,-16.113,0.000,null
1739682591.753,-12.695,-35.645,-34.668,-20.508,0.000,null
1739682591.757,-19.531,-39.551,-37.109,-24.414,0.000,null
