timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739684258.624,-28.320,-27.832,-38.574,-28.809,0.000,sab
1739684258.628,-28.320,-36.133,-41.504,-24.902,0.000,sab
1739684258.632,-28.320,-24.902,-39.551,-22.461,0.000,sab
1739684258.636,-30.762,-21.484,-38.086,-25.879,0.000,sab
1739684258.640,-32.715,-27.832,-42.480,-28.809,0.000,sab
1739684258.644,-33.203,-34.180,-44.922,-29.297,0.000,sab
1739684258.648,-27.344,-38.574,-40.039,-27.832,0.000,sab
1739684258.652,-32.227,-33.691,-39.551,-33.691,0.000,sab
1739684258.656,-34.180,-27.344,-37.598,-37.109,0.000,sab
1739684258.660,-30.762,-31.738,-32.715,-36.133,0.000,sab
1739684258.663,-32.715,-37.598,-35.156,-41.016,0.000,sab
1739684258.667,-41.016,-35.156,-39.551,-47.852,0.000,sab
1739684258.671,-45.410,-33.203,-35.645,-50.781,0.000,sab
1739684258.675,-38.086,-33.691,-32.715,-47.363,0.000,sab
1739684258.679,-38.574,-30.762,-35.156,-46.387,0.000,sab
1739684258.683,-39.062,-30.762,-36.133,-44.434,0.000,sab
1739684258.687,-32.227,-29.785,-30.273,-38.086,0.000,sab
1739684258.691,-28.320,-31.250,-33.691,-40.039,0.000,sab
1739684258.695,-28.809,-30.273,-37.598,-50.293,0.000,sab
1739684258.699,-32.715,-24.414,-37.109,-57.617,0.000,sab
1739684258.702,-36.133,-31.738,-41.504,-55.176,0.000,sab
1739684258.706,-32.715,-28.809,-39.062,-45.898,0.000,sab
1739684258.710,-29.785,-20.020,-38.086,-43.457,0.000,sab
1739684258.714,-31.250,-22.461,-42.480,-55.176,0.000,sab
1739684258.718,-31.738,-29.785,-46.875,-56.641,0.000,sab
1739684258.722,-26.367,-30.762,-44.434,-46.387,0.000,sab
1739684258.726,-25.391,-31.250,-41.992,-50.781,0.000,sab
1739684258.730,-31.738,-32.227,-48.340,-55.176,0.000,sab
1739684258.734,-30.762,-31.250,-46.387,-46.875,0.000,sab
1739684258.738,-24.902,-37.109,-38.086,-37.598,0.000,sab
1739684258.742,-30.273,-35.156,-40.527,-40.527,0.000,sab
1739684258.745,-35.645,-26.367,-40.039,-47.852,0.000,sab
1739684258.749,-32.227,-31.738,-36.133,-45.898,0.000,sab
1739684258.753,-28.809,-35.645,-38.086,-39.551,0.000,sab
1739684258.757,-32.715,-31.738,-37.109,-42.480,0.000,sab
1739684258.761,-36.621,-31.738,-38.086,-48.340,0.000,sab
1739684258.765,-34.180,-30.762,-42.969,-53.223,0.000,sab
1739684258.769,-29.785,-27.832,-43.945,-59.082,0.000,sab
1739684258.773,-25.391,-25.879,-43.457,-62.012,0.000,sab
1739684258.777,-24.902,-24.902,-41.992,-58.105,0.000,sab
1739684258.781,-29.297,-26.367,-42.480,-48.828,0.000,sab
1739684258.784,-24.902,-31.250,-35.156,-43.945,0.000,sab
1739684258.788,-22.949,-29.785,-32.715,-37.598,0.000,sab
1739684258.792,-25.879,-28.809,-37.598,-39.062,0.000,sab
1739684258.796,-25.391,-36.621,-34.668,-36.621,0.000,sab
1739684258.800,-28.809,-38.574,-30.762,-27.832,0.000,sab
1739684258.804,-30.762,-36.621,-36.621,-33.691,0.000,sab
1739684258.808,-20.996,-34.668,-38.574,-32.715,0.000,sab
1739684258.812,-18.066,-35.645,-40.039,-32.227,0.000,sab
1739684258.816,-23.926,-30.762,-42.480,-33.691,0.000,sab
1739684258.820,-27.344,-25.879,-44.434,-37.598,0.000,sab
1739684258.824,-29.785,-29.785,-47.363,-31.738,0.000,sab
1739684258.827,-26.367,-31.250,-49.805,-24.902,0.000,sab
1739684258.831,-25.879,-32.227,-46.875,-30.273,0.000,sab
1739684258.835,-28.320,-27.344,-36.133,-32.715,0.000,sab
1739684258.839,-32.227,-28.320,-38.574,-41.992,0.000,sab
1739684258.843,-33.691,-27.832,-44.434,-42.480,0.000,sab
1739684258.847,-35.156,-23.926,-43.457,-42.969,0.000,sab
1739684258.851,-35.156,-24.902,-41.016,-45.898,0.000,sab
1739684258.855,-36.133,-24.414,-45.410,-50.781,0.000,sab
1739684258.859,-35.156,-20.996,-49.805,-56.152,0.000,sab
1739684258.863,-27.832,-17.578,-42.480,-48.828,0.000,sab
1739684258.867,-17.578,-20.508,-39.062,-47.363,0.000,sab
1739684258.870,-21.484,-31.250,-42.480,-54.199,0.000,sab
1739684258.874,-29.297,-38.574,-44.434,-53.711,0.000,sab
1739684258.878,-28.809,-41.504,-39.551,-54.688,0.000,sab
1739684258.882,-31.738,-38.574,-40.039,-56.152,0.000,sab
1739684258.886,-27.344,-36.621,-49.316,-43.945,0.000,sab
1739684258.890,-28.320,-33.691,-49.805,-40.039,0.000,sab
1739684258.894,-30.762,-32.715,-42.969,-56.641,0.000,sab
1739684258.898,-20.996,-32.227,-44.922,-53.223,0.000,sab
1739684258.902,-16.602,-26.855,-44.922,-38.574,0.000,sab
1739684258.906,-17.578,-24.902,-39.551,-36.133,0.000,sab
1739684258.909,-18.555,-22.949,-39.062,-39.062,0.000,sab
1739684258.913,-15.625,-23.926,-45.898,-42.480,0.000,sab
1739684258.917,-17.090,-22.949,-41.504,-33.691,0.000,sab
1739684258.921,-23.438,-27.832,-40.039,-37.598,0.000,sab
1739684258.925,-30.762,-31.250,-44.922,-50.293,0.000,sab
1739684258.929,-31.738,-34.180,-41.992,-46.875,0.000,sab
1739684258.933,-35.156,-41.504,-47.363,-42.969,0.000,sab
1739684258.937,-41.504,-34.180,-50.293,-46.387,0.000,sab
1739684258.941,-38.574,-30.273,-48.828,-53.223,0.000,sab
1739684258.945,-30.762,-32.715,-48.340,-51.270,0.000,sab
1739684258.948,-25.879,-29.785,-45.898,-48.340,0.000,sab
1739684258.952,-26.367,-25.391,-41.992,-50.781,0.000,sab
1739684258.956,-22.461,-22.949,-42.480,-49.316,0.000,sab
1739684258.960,-14.160,-21.973,-43.457,-37.598,0.000,sab
