timestamps,TP9,AF7,AF8,TP10,Right AUX,label
1739683588.981,-35.156,-38.086,-45.898,-41.016,0.000,dhp
1739683588.985,-32.715,-37.598,-41.504,-41.992,0.000,dhp
1739683588.989,-38.086,-38.086,-38.086,-39.062,0.000,dhp
1739683588.993,-42.480,-39.551,-39.551,-43.945,0.000,dhp
1739683588.997,-39.551,-39.062,-39.551,-43.457,0.000,dhp
1739683589.001,-40.527,-37.109,-41.016,-39.551,0.000,dhp
1739683589.005,-32.715,-35.156,-44.434,-41.504,0.000,dhp
1739683589.008,-24.902,-35.645,-45.898,-40.039,0.000,dhp
1739683589.012,-29.297,-38.086,-40.039,-40.527,0.000,dhp
1739683589.016,-35.645,-43.945,-33.203,-41.992,0.000,dhp
1739683589.020,-44.434,-44.922,-29.785,-49.805,0.000,dhp
1739683589.024,-43.457,-42.480,-35.645,-47.363,0.000,dhp
1739683589.028,-41.016,-40.039,-42.480,-45.898,0.000,dhp
1739683589.032,-46.387,-40.039,-41.504,-57.617,0.000,dhp
1739683589.036,-38.574,-41.016,-41.992,-59.570,0.000,dhp
1739683589.040,-30.762,-45.898,-45.410,-51.270,0.000,dhp
1739683589.044,-29.297,-47.363,-43.945,-49.805,0.000,dhp
1739683589.047,-30.762,-46.875,-40.527,-51.758,0.000,dhp
1739683589.051,-27.344,-49.805,-38.086,-51.758,0.000,dhp
1739683589.055,-25.879,-49.805,-37.109,-45.898,0.000,dhp
1739683589.059,-28.809,-50.293,-41.016,-46.387,0.000,dhp
1739683589.063,-28.809,-50.781,-45.410,-57.129,0.000,dhp
1739683589.067,-31.738,-46.875,-49.805,-56.641,0.000,dhp
1739683589.071,-38.086,-43.945,-51.758,-52.246,0.000,dhp
1739683589.075,-39.062,-41.504,-43.945,-47.363,0.000,dhp
1739683589.079,-30.762,-40.527,-36.621,-43.457,0.000,dhp
1739683589.083,-31.250,-45.410,-36.621,-41.504,0.000,dhp
1739683589.087,-22.461,-46.387,-39.551,-40.527,0.000,dhp
1739683589.090,-20.996,-41.992,-37.109,-42.969,0.000,dhp
1739683589.094,-41.504,-43.457,-34.668,-51.270,0.000,dhp
1739683589.098,-44.434,-44.434,-36.133,-51.270,0.000,dhp
1739683589.102,-30.273,-46.875,-33.691,-36.133,0.000,dhp
1739683589.106,-28.809,-48.828,-30.273,-23.438,0.000,dhp
1739683589.110,-35.156,-41.992,-32.715,-37.598,0.000,dhp
1739683589.114,-35.645,-43.945,-32.715,-39.551,0.000,dhp
1739683589.118,-40.527,-49.805,-28.809,-34.180,0.000,dhp
1739683589.122,-39.551,-48.340,-27.344,-28.320,0.000,dhp
1739683589.126,-35.645,-42.480,-27.344,-24.902,0.000,dhp
1739683589.129,-44.434,-37.109,-34.180,-40.527,0.000,dhp
1739683589.133,-51.270,-35.645,-37.598,-44.434,0.000,dhp
1739683589.137,-53.711,-38.574,-37.598,-46.387,0.000,dhp
1739683589.141,-46.875,-50.781,-37.109,-39.062,0.000,dhp
1739683589.145,-36.621,-50.781,-39.062,-32.227,0.000,dhp
1739683589.149,-37.109,-42.480,-39.062,-34.668,0.000,dhp
1739683589.153,-50.781,-36.621,-36.621,-38.086,0.000,dhp
1739683589.157,-54.688,-38.574,-39.062,-40.527,0.000,dhp
1739683589.161,-49.805,-42.480,-41.504,-41.504,0.000,dhp
1739683589.165,-49.316,-42.969,-45.410,-51.270,0.000,dhp
1739683589.168,-47.852,-43.945,-41.992,-48.828,0.000,dhp
1739683589.172,-44.922,-44.434,-41.016,-34.668,0.000,dhp
1739683589.176,-41.992,-42.969,-46.387,-31.250,0.000,dhp
1739683589.180,-46.875,-46.387,-38.086,-32.715,0.000,dhp
1739683589.184,-58.594,-49.805,-32.715,-32.227,0.000,dhp
1739683589.188,-53.223,-41.992,-41.992,-27.344,0.000,dhp
1739683589.192,-38.086,-30.273,-41.992,-26.855,0.000,dhp
1739683589.196,-27.832,-29.785,-41.504,-30.273,0.000,dhp
1739683589.200,-40.039,-32.715,-43.457,-42.480,0.000,dhp
1739683589.204,-43.457,-38.574,-40.039,-40.039,0.000,dhp
1739683589.207,-36.133,-43.945,-35.645,-29.297,0.000,dhp
1739683589.211,-40.039,-42.969,-41.504,-37.109,0.000,dhp
1739683589.215,-39.062,-41.504,-44.922,-38.574,0.000,dhp
1739683589.219,-43.945,-40.527,-36.621,-31.250,0.000,dhp
1739683589.223,-56.152,-42.480,-34.180,-31.250,0.000,dhp
1739683589.227,-48.828,-46.387,-37.109,-35.156,0.000,dhp
1739683589.231,-41.016,-42.969,-46.387,-43.945,0.000,dhp
1739683589.235,-40.039,-41.992,-52.246,-51.270,0.000,dhp
1739683589.239,-44.434,-45.410,-44.922,-55.176,0.000,dhp
1739683589.243,-48.828,-43.457,-44.434,-53.223,0.000,dhp
1739683589.247,-38.574,-42.969,-47.852,-45.898,0.000,dhp
1739683589.250,-29.785,-45.410,-46.387,-43.945,0.000,dhp
1739683589.254,-27.832,-43.945,-47.363,-39.551,0.000,dhp
1739683589.258,-30.273,-36.133,-46.875,-37.598,0.000,dhp
1739683589.262,-31.250,-33.203,-39.551,-43.457,0.000,dhp
1739683589.266,-34.668,-38.086,-40.039,-49.316,0.000,dhp
1739683589.270,-33.203,-40.527,-39.551,-44.434,0.000,dhp
1739683589.274,-30.273,-40.527,-32.715,-40.039,0.000,dhp
1739683589.278,-29.297,-39.551,-35.156,-40.527,0.000,dhp
1739683589.282,-30.762,-42.480,-42.969,-39.062,0.000,dhp
1739683589.286,-36.621,-47.363,-43.457,-38.574,0.000,dhp
1739683589.289,-35.156,-40.527,-39.551,-36.133,0.000,dhp
1739683589.293,-24.414,-39.551,-35.645,-22.461,0.000,dhp
1739683589.297,-19.531,-46.875,-35.156,-15.137,0.000,dhp
1739683589.301,-13.672,-42.480,-39.062,-21.484,0.000,dhp
1739683589.305,-13.184,-34.180,-41.992,-32.715,0.000,dhp
1739683589.309,-14.160,-37.598,-38.574,-32.227,0.000,dhp
1739683589.313,-11.230,-41.992,-38.574,-35.156,0.000,dhp
1739683589.317,-11.230,-43.457,-38.086,-41.992,0.000,dhp
1739683589.321,-16.602,-48.828,-41.016,-40.527,0.000,dhp
1739683589.325,-24.902,-46.875,-40.527,-41.992,0.000,dhp
1739683589.328,-30.762,-45.898,-40.527,-50.293,0.000,dhp
1739683589.332,-42.480,-46.387,-45.898,-51.270,0.000,dhp
1739683589.336,-41.016,-41.504,-51.270,-58.594,0.000,dhp
1739683589.340,-37.598,-41.504,-51.758,-62.012,0.000,dhp
1739683589.344,-46.387,-47.363,-49.805,-57.129,0.000,dhp
1739683589.348,-46.387,-44.434,-48.340,-62.500,0.000,dhp
1739683589.352,-41.504,-47.363,-45.898,-59.570,0.000,dhp
1739683589.356,-32.227,-52.734,-41.016,-44.434,0.000,dhp
1739683589.360,-26.855,-52.246,-37.598,-40.527,0.000,dhp
1739683589.364,-39.551,-48.340,-37.598,-43.945,0.000,dhp
1739683589.368,-49.316,-41.504,-35.156,-46.875,0.000,dhp
1739683589.371,-44.922,-40.527,-37.598,-48.828,0.000,dhp
1739683589.375,-40.527,-42.969,-47.852,-43.945,0.000,dhp
1739683589.379,-46.387,-41.016,-54.199,-46.875,0.000,dhp
1739683589.383,-50.293,-35.645,-48.828,-63.965,0.000,dhp
1739683589.387,-37.598,-39.062,-46.875,-66.406,0.000,dhp
1739683589.391,-29.297,-39.062,-49.316,-54.688,0.000,dhp
1739683589.395,-35.156,-35.156,-42.480,-54.688,0.000,dhp
1739683589.399,-28.809,-39.062,-35.645,-45.898,0.000,dhp
1739683589.403,-21.484,-45.410,-34.180,-33.691,0.000,dhp
1739683589.407,-31.250,-43.457,-41.016,-41.504,0.000,dhp
1739683589.410,-30.762,-34.180,-44.434,-36.621,0.000,dhp
1739683589.414,-26.855,-36.621,-36.133,-32.715,0.000,dhp
1739683589.418,-31.250,-43.945,-34.180,-38.574,0.000,dhp
1739683589.422,-22.949,-40.527,-34.668,-27.344,0.000,dhp
1739683589.426,-33.203,-31.738,-33.691,-30.273,0.000,dhp
